academic_year,assignments,attendance,course_id,course_name,email,final,final_grade,letter_grade,major,midterm,name,semester,student_id,trait
2021/2022,9.4,99.1,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),tranhuuloibd21ai013@gmail.com,3.4,6.5,C,Khoa AI - Khóa 21,4.9,Trần Hữu Lợi,1,BD21AI013,diligent_but_low
2021/2022,8.4,50.6,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),leminhlinhbd21ai014@gmail.com,9.4,8.2,B,Khoa AI - Khóa 21,8.8,Lê Minh Linh,1,BD21AI014,talented_but_lazy
2021/2022,7.5,54.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),duongthanhkienbd21ai015@gmail.com,9.4,8.0,B,Khoa AI - Khóa 21,9.6,Dương Thanh Kiên,1,BD21AI015,talented_but_lazy
2021/2022,9.5,99.4,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),duongminhanbd21ai016@gmail.com,4.4,7.0,B,Khoa AI - Khóa 21,5.1,Dương Minh An,1,BD21AI016,diligent_but_low
2021/2022,7.1,48.3,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),vuquangtungbd21ai017@gmail.com,9.3,7.7,B,Khoa AI - Khóa 21,9.2,Vũ Quang Tùng,1,BD21AI017,talented_but_lazy
2021/2022,8.6,55.4,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),tranquangnambd21ai018@gmail.com,8.6,8.0,B,Khoa AI - Khóa 21,9.8,Trần Quang Nam,1,BD21AI018,talented_but_lazy
2021/2022,9.8,96.2,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),đongoccuongbd21ai019@gmail.com,5.1,7.4,B,Khoa AI - Khóa 21,3.8,Đỗ Ngọc Cường,1,BD21AI019,diligent_but_low
2021/2022,10.0,96.7,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),lythanhnambd21ai020@gmail.com,3.6,6.7,C,Khoa AI - Khóa 21,4.6,Lý Thanh Nam,1,BD21AI020,diligent_but_low
2021/2022,9.1,99.9,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),duongkimloibd21ai021@gmail.com,3.9,6.7,C,Khoa AI - Khóa 21,5.4,Dương Kim Lợi,1,BD21AI021,diligent_but_low
2021/2022,9.3,98.5,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),huynhquangdungbd21ai022@gmail.com,4.2,6.9,C,Khoa AI - Khóa 21,3.7,Huỳnh Quang Dũng,1,BD21AI022,diligent_but_low
2021/2022,9.7,99.6,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),buithanhkienbd21ai023@gmail.com,9.9,9.8,A,Khoa AI - Khóa 21,9.7,Bùi Thành Kiên,1,BD21AI023,excellent
2021/2022,9.4,98.3,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),vongocvinhbd21ai024@gmail.com,3.5,6.6,C,Khoa AI - Khóa 21,3.7,Võ Ngọc Vinh,1,BD21AI024,diligent_but_low
2021/2022,3.7,65.6,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),buihuuhabd21ai025@gmail.com,3.7,4.3,D,Khoa AI - Khóa 21,2.3,Bùi Hữu Hà,1,BD21AI025,struggling
2021/2022,7.1,84.4,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),duongtuancuongbd21ai026@gmail.com,7.5,7.5,B,Khoa AI - Khóa 21,6.5,Dương Tuấn Cường,1,BD21AI026,average
2021/2022,6.9,92.6,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),buiquangsonbd21ai027@gmail.com,7.0,7.4,B,Khoa AI - Khóa 21,6.8,Bùi Quang Sơn,1,BD21AI027,average
2021/2022,9.8,98.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),đangđucloibd21ai028@gmail.com,9.1,9.4,A,Khoa AI - Khóa 21,9.7,Đặng Đức Lợi,1,BD21AI028,excellent
2021/2022,10.0,96.1,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),huynhthanhlinhbd21ai029@gmail.com,9.7,9.7,A,Khoa AI - Khóa 21,9.3,Huỳnh Thành Linh,1,BD21AI029,excellent
2021/2022,8.4,64.3,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),nguyenhuukienbd21ai030@gmail.com,9.4,8.5,A,Khoa AI - Khóa 21,9.9,Nguyễn Hữu Kiên,1,BD21AI030,talented_but_lazy
2021/2022,9.9,97.2,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),buivannambd21ai031@gmail.com,9.8,9.8,A,Khoa AI - Khóa 21,10.0,Bùi Văn Nam,1,BD21AI031,excellent
2021/2022,8.4,46.7,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),hoangquangtungbd21ai032@gmail.com,8.6,7.7,B,Khoa AI - Khóa 21,9.3,Hoàng Quang Tùng,1,BD21AI032,talented_but_lazy
2021/2022,9.8,97.9,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),đangngoctungbd21ai033@gmail.com,9.2,9.5,A,Khoa AI - Khóa 21,9.7,Đặng Ngọc Tùng,1,BD21AI033,excellent
2021/2022,10.0,98.3,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),lyvantungbd21ai034@gmail.com,4.7,7.3,B,Khoa AI - Khóa 21,4.1,Lý Văn Tùng,1,BD21AI034,diligent_but_low
2021/2022,3.7,42.9,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),buikimminhbd21ai035@gmail.com,3.0,3.5,F,Khoa AI - Khóa 21,2.9,Bùi Kim Minh,1,BD21AI035,struggling
2021/2022,9.7,98.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),vođucanbd21ai036@gmail.com,4.0,6.9,C,Khoa AI - Khóa 21,4.4,Võ Đức An,1,BD21AI036,diligent_but_low
2021/2022,3.8,57.0,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),duongngocsonbd21ai037@gmail.com,2.2,3.4,F,Khoa AI - Khóa 21,3.6,Dương Ngọc Sơn,1,BD21AI037,struggling
2021/2022,9.2,99.5,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),tranhaiminhbd21ai038@gmail.com,4.3,6.9,C,Khoa AI - Khóa 21,4.2,Trần Hải Minh,1,BD21AI038,diligent_but_low
2021/2022,3.6,59.8,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),ngoquangdungbd21ai039@gmail.com,3.0,3.8,F,Khoa AI - Khóa 21,2.5,Ngô Quang Dũng,1,BD21AI039,struggling
2021/2022,7.1,56.2,AI101_K21_2021_2022_S1,Toán cho AI (Đại số & Giải tích) (K21),tranđuctungbd21ai040@gmail.com,9.4,7.9,B,Khoa AI - Khóa 21,8.7,Trần Đức Tùng,1,BD21AI040,talented_but_lazy
2021/2022,8.2,51.3,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),huynhxuankienbd21ai001@gmail.com,8.7,7.9,B,Khoa AI - Khóa 21,9.8,Huỳnh Xuân Kiên,1,BD21AI001,talented_but_lazy
2021/2022,9.8,97.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),phamvanbinhbd21ai002@gmail.com,9.9,9.8,A,Khoa AI - Khóa 21,10.0,Phạm Văn Bình,1,BD21AI002,excellent
2021/2022,8.8,90.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),đangvannambd21ai003@gmail.com,6.4,7.6,B,Khoa AI - Khóa 21,6.6,Đặng Văn Nam,1,BD21AI003,average
2021/2022,8.1,60.5,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),tranngocanbd21ai004@gmail.com,8.6,8.0,B,Khoa AI - Khóa 21,9.1,Trần Ngọc An,1,BD21AI004,talented_but_lazy
2021/2022,9.4,99.0,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),duongkimcuongbd21ai005@gmail.com,5.4,7.5,B,Khoa AI - Khóa 21,3.1,Dương Kim Cường,1,BD21AI005,diligent_but_low
2021/2022,9.2,97.4,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),vukimsonbd21ai006@gmail.com,4.6,7.0,B,Khoa AI - Khóa 21,4.4,Vũ Kim Sơn,1,BD21AI006,diligent_but_low
2021/2022,7.3,40.8,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),huynhđucdungbd21ai007@gmail.com,9.4,7.7,B,Khoa AI - Khóa 21,8.8,Huỳnh Đức Dũng,1,BD21AI007,talented_but_lazy
2021/2022,9.4,99.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),tranquangquanbd21ai008@gmail.com,9.4,9.5,A,Khoa AI - Khóa 21,9.2,Trần Quang Quân,1,BD21AI008,excellent
2021/2022,8.7,86.4,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),đohailoibd21ai009@gmail.com,6.3,7.5,B,Khoa AI - Khóa 21,6.1,Đỗ Hải Lợi,1,BD21AI009,average
2021/2022,8.7,60.0,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),buithanhlinhbd21ai010@gmail.com,9.6,8.6,A,Khoa AI - Khóa 21,9.2,Bùi Thành Linh,1,BD21AI010,talented_but_lazy
2021/2022,5.0,65.8,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),lyvanphucbd21ai011@gmail.com,4.2,4.9,D,Khoa AI - Khóa 21,4.1,Lý Văn Phúc,1,BD21AI011,struggling
2021/2022,9.8,99.0,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),phanđucsonbd21ai012@gmail.com,9.6,9.7,A,Khoa AI - Khóa 21,9.9,Phan Đức Sơn,1,BD21AI012,excellent
2021/2022,9.7,98.2,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),tranhuuloibd21ai013@gmail.com,5.5,7.6,B,Khoa AI - Khóa 21,3.4,Trần Hữu Lợi,1,BD21AI013,diligent_but_low
2021/2022,7.1,58.5,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),leminhlinhbd21ai014@gmail.com,8.9,7.7,B,Khoa AI - Khóa 21,8.7,Lê Minh Linh,1,BD21AI014,talented_but_lazy
2021/2022,8.3,64.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),duongthanhkienbd21ai015@gmail.com,9.1,8.3,B,Khoa AI - Khóa 21,9.5,Dương Thanh Kiên,1,BD21AI015,talented_but_lazy
2021/2022,9.6,100.0,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),duongminhanbd21ai016@gmail.com,3.4,6.6,C,Khoa AI - Khóa 21,3.9,Dương Minh An,1,BD21AI016,diligent_but_low
2021/2022,7.5,58.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),vuquangtungbd21ai017@gmail.com,9.5,8.2,B,Khoa AI - Khóa 21,8.8,Vũ Quang Tùng,1,BD21AI017,talented_but_lazy
2021/2022,8.9,54.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),tranquangnambd21ai018@gmail.com,9.3,8.4,B,Khoa AI - Khóa 21,9.0,Trần Quang Nam,1,BD21AI018,talented_but_lazy
2021/2022,9.2,99.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),đongoccuongbd21ai019@gmail.com,4.2,6.8,C,Khoa AI - Khóa 21,3.1,Đỗ Ngọc Cường,1,BD21AI019,diligent_but_low
2021/2022,9.1,97.2,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),lythanhnambd21ai020@gmail.com,3.4,6.4,C,Khoa AI - Khóa 21,4.1,Lý Thanh Nam,1,BD21AI020,diligent_but_low
2021/2022,9.9,96.8,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),duongkimloibd21ai021@gmail.com,5.3,7.5,B,Khoa AI - Khóa 21,3.2,Dương Kim Lợi,1,BD21AI021,diligent_but_low
2021/2022,9.7,96.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),huynhquangdungbd21ai022@gmail.com,3.3,6.5,C,Khoa AI - Khóa 21,4.5,Huỳnh Quang Dũng,1,BD21AI022,diligent_but_low
2021/2022,9.9,97.7,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),buithanhkienbd21ai023@gmail.com,9.0,9.4,A,Khoa AI - Khóa 21,9.3,Bùi Thành Kiên,1,BD21AI023,excellent
2021/2022,10.0,99.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),vongocvinhbd21ai024@gmail.com,5.1,7.5,B,Khoa AI - Khóa 21,5.3,Võ Ngọc Vinh,1,BD21AI024,diligent_but_low
2021/2022,4.4,55.8,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),buihuuhabd21ai025@gmail.com,1.8,3.3,F,Khoa AI - Khóa 21,3.3,Bùi Hữu Hà,1,BD21AI025,struggling
2021/2022,7.4,79.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),duongtuancuongbd21ai026@gmail.com,7.8,7.7,B,Khoa AI - Khóa 21,5.8,Dương Tuấn Cường,1,BD21AI026,average
2021/2022,7.2,82.3,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),buiquangsonbd21ai027@gmail.com,6.1,6.9,C,Khoa AI - Khóa 21,7.8,Bùi Quang Sơn,1,BD21AI027,average
2021/2022,9.9,96.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),đangđucloibd21ai028@gmail.com,9.8,9.8,A,Khoa AI - Khóa 21,9.0,Đặng Đức Lợi,1,BD21AI028,excellent
2021/2022,9.4,94.9,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),huynhthanhlinhbd21ai029@gmail.com,9.1,9.3,A,Khoa AI - Khóa 21,9.8,Huỳnh Thành Linh,1,BD21AI029,excellent
2021/2022,8.9,57.7,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),nguyenhuukienbd21ai030@gmail.com,9.9,8.7,A,Khoa AI - Khóa 21,8.7,Nguyễn Hữu Kiên,1,BD21AI030,talented_but_lazy
2021/2022,9.6,98.8,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),buivannambd21ai031@gmail.com,9.7,9.7,A,Khoa AI - Khóa 21,9.7,Bùi Văn Nam,1,BD21AI031,excellent
2021/2022,7.4,54.5,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),hoangquangtungbd21ai032@gmail.com,9.5,8.0,B,Khoa AI - Khóa 21,8.6,Hoàng Quang Tùng,1,BD21AI032,talented_but_lazy
2021/2022,9.8,97.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),đangngoctungbd21ai033@gmail.com,10.0,9.9,A,Khoa AI - Khóa 21,9.2,Đặng Ngọc Tùng,1,BD21AI033,excellent
2021/2022,9.1,98.9,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),lyvantungbd21ai034@gmail.com,5.1,7.2,B,Khoa AI - Khóa 21,4.2,Lý Văn Tùng,1,BD21AI034,diligent_but_low
2021/2022,4.0,71.0,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),buikimminhbd21ai035@gmail.com,3.8,4.5,D,Khoa AI - Khóa 21,4.0,Bùi Kim Minh,1,BD21AI035,struggling
2021/2022,9.6,98.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),vođucanbd21ai036@gmail.com,4.5,7.1,B,Khoa AI - Khóa 21,4.9,Võ Đức An,1,BD21AI036,diligent_but_low
2021/2022,2.5,46.6,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),duongngocsonbd21ai037@gmail.com,2.7,3.0,F,Khoa AI - Khóa 21,1.8,Dương Ngọc Sơn,1,BD21AI037,struggling
2021/2022,9.6,97.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),tranhaiminhbd21ai038@gmail.com,5.4,7.6,B,Khoa AI - Khóa 21,4.5,Trần Hải Minh,1,BD21AI038,diligent_but_low
2021/2022,4.3,56.0,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),ngoquangdungbd21ai039@gmail.com,4.2,4.5,D,Khoa AI - Khóa 21,3.8,Ngô Quang Dũng,1,BD21AI039,struggling
2021/2022,7.2,53.1,AI102_K21_2021_2022_S1,Xác suất & Thống kê ứng dụng (K21),tranđuctungbd21ai040@gmail.com,9.9,8.2,B,Khoa AI - Khóa 21,9.3,Trần Đức Tùng,1,BD21AI040,talented_but_lazy
2021/2022,8.2,49.5,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),huynhxuankienbd21ai001@gmail.com,9.1,8.0,B,Khoa AI - Khóa 21,8.7,Huỳnh Xuân Kiên,2,BD21AI001,talented_but_lazy
2021/2022,9.5,98.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),phamvanbinhbd21ai002@gmail.com,9.5,9.6,A,Khoa AI - Khóa 21,9.6,Phạm Văn Bình,2,BD21AI002,excellent
2021/2022,8.2,90.1,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),đangvannambd21ai003@gmail.com,8.0,8.2,B,Khoa AI - Khóa 21,5.9,Đặng Văn Nam,2,BD21AI003,average
2021/2022,8.6,41.2,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),tranngocanbd21ai004@gmail.com,9.7,8.2,B,Khoa AI - Khóa 21,8.7,Trần Ngọc An,2,BD21AI004,talented_but_lazy
2021/2022,9.0,98.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),duongkimcuongbd21ai005@gmail.com,3.1,6.3,C,Khoa AI - Khóa 21,3.5,Dương Kim Cường,2,BD21AI005,diligent_but_low
2021/2022,9.1,96.3,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),vukimsonbd21ai006@gmail.com,3.3,6.3,C,Khoa AI - Khóa 21,4.0,Vũ Kim Sơn,2,BD21AI006,diligent_but_low
2021/2022,8.5,59.2,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),huynhđucdungbd21ai007@gmail.com,8.6,8.0,B,Khoa AI - Khóa 21,8.8,Huỳnh Đức Dũng,2,BD21AI007,talented_but_lazy
2021/2022,9.9,94.1,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),tranquangquanbd21ai008@gmail.com,9.1,9.4,A,Khoa AI - Khóa 21,9.6,Trần Quang Quân,2,BD21AI008,excellent
2021/2022,6.7,94.4,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),đohailoibd21ai009@gmail.com,6.4,7.1,B,Khoa AI - Khóa 21,7.3,Đỗ Hải Lợi,2,BD21AI009,average
2021/2022,9.1,49.0,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),buithanhlinhbd21ai010@gmail.com,8.8,8.1,B,Khoa AI - Khóa 21,9.3,Bùi Thành Linh,2,BD21AI010,talented_but_lazy
2021/2022,4.0,56.9,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),lyvanphucbd21ai011@gmail.com,2.1,3.4,F,Khoa AI - Khóa 21,3.2,Lý Văn Phúc,2,BD21AI011,struggling
2021/2022,9.7,97.5,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),phanđucsonbd21ai012@gmail.com,9.2,9.4,A,Khoa AI - Khóa 21,10.0,Phan Đức Sơn,2,BD21AI012,excellent
2021/2022,9.8,97.3,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),tranhuuloibd21ai013@gmail.com,3.8,6.8,C,Khoa AI - Khóa 21,5.2,Trần Hữu Lợi,2,BD21AI013,diligent_but_low
2021/2022,8.3,46.3,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),leminhlinhbd21ai014@gmail.com,8.6,7.7,B,Khoa AI - Khóa 21,9.5,Lê Minh Linh,2,BD21AI014,talented_but_lazy
2021/2022,8.6,57.1,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),duongthanhkienbd21ai015@gmail.com,8.8,8.1,B,Khoa AI - Khóa 21,9.7,Dương Thanh Kiên,2,BD21AI015,talented_but_lazy
2021/2022,9.5,98.3,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),duongminhanbd21ai016@gmail.com,5.2,7.4,B,Khoa AI - Khóa 21,5.1,Dương Minh An,2,BD21AI016,diligent_but_low
2021/2022,7.8,58.2,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),vuquangtungbd21ai017@gmail.com,9.5,8.2,B,Khoa AI - Khóa 21,9.3,Vũ Quang Tùng,2,BD21AI017,talented_but_lazy
2021/2022,8.9,40.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),tranquangnambd21ai018@gmail.com,9.6,8.3,B,Khoa AI - Khóa 21,9.3,Trần Quang Nam,2,BD21AI018,talented_but_lazy
2021/2022,9.8,96.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),đongoccuongbd21ai019@gmail.com,4.4,7.1,B,Khoa AI - Khóa 21,3.9,Đỗ Ngọc Cường,2,BD21AI019,diligent_but_low
2021/2022,9.6,96.2,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),lythanhnambd21ai020@gmail.com,4.4,7.0,B,Khoa AI - Khóa 21,3.5,Lý Thanh Nam,2,BD21AI020,diligent_but_low
2021/2022,9.9,98.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),duongkimloibd21ai021@gmail.com,5.4,7.6,B,Khoa AI - Khóa 21,5.0,Dương Kim Lợi,2,BD21AI021,diligent_but_low
2021/2022,9.4,99.1,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),huynhquangdungbd21ai022@gmail.com,4.5,7.1,B,Khoa AI - Khóa 21,3.4,Huỳnh Quang Dũng,2,BD21AI022,diligent_but_low
2021/2022,9.7,94.6,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),buithanhkienbd21ai023@gmail.com,9.9,9.7,A,Khoa AI - Khóa 21,9.6,Bùi Thành Kiên,2,BD21AI023,excellent
2021/2022,9.9,96.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),vongocvinhbd21ai024@gmail.com,5.5,7.6,B,Khoa AI - Khóa 21,4.2,Võ Ngọc Vinh,2,BD21AI024,diligent_but_low
2021/2022,3.4,47.0,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),buihuuhabd21ai025@gmail.com,2.5,3.2,F,Khoa AI - Khóa 21,3.9,Bùi Hữu Hà,2,BD21AI025,struggling
2021/2022,8.8,71.9,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),duongtuancuongbd21ai026@gmail.com,7.9,8.0,B,Khoa AI - Khóa 21,6.8,Dương Tuấn Cường,2,BD21AI026,average
2021/2022,8.5,87.0,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),buiquangsonbd21ai027@gmail.com,6.8,7.7,B,Khoa AI - Khóa 21,7.5,Bùi Quang Sơn,2,BD21AI027,average
2021/2022,9.8,95.8,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),đangđucloibd21ai028@gmail.com,9.3,9.5,A,Khoa AI - Khóa 21,9.2,Đặng Đức Lợi,2,BD21AI028,excellent
2021/2022,9.4,97.1,AI103_K21_2021_2022_S2,Lập trình Python cho Khoa học dữ liệu (K21),huynhthanhlinhbd21ai029@gmail.com,9.3,9.4,A,Khoa AI - Khóa 21,10.0,Huỳnh Thành Linh,2,BD21AI029,excellent
